#	工程	タスク	7月	8月	9月	10月	11月	12月	1月	2月	3月
1	要件定義	要件定義	2	1							
2		見積もり①	1	1							
3		環境構築		2	1						
4		プロト作成①		1	1						
5	外部設計	外部設計			3	2					
6		プロト作成②			2	1					
7		テスト観点のすり合わせ			1	1					
8		見積もり②			1	1					
9	内部設計	内部設計				4	3				
10	M/UT	M					3	2			
11		UT					2	3			
12		CI/CD検討/構築					1	2			
13		テスト自動化					1	2			
14		多機種検証					1	1			
15	結合	テスト明細/データ作成						2	3		
16		テスト実施						1	4		
17		多機種検証						1	2		
18	総合	テスト明細/データ作成							2	3	
19		テスト実施							1	4	
20	データ移行	データ移行							1	2									
