分類	画面名	タスク	概要	対象プラットフォーム	優先度	工数(人月)	画面ID	実装区分	ナビゲーションバー	元々存在	更新理由	削除フラグ
マイページ	マイページ更新画面	画面	アイコン、ニックネーム等の設定内容変更	HDBアプリ（iOS、Android）	A	1	19	アプリ		○		
マイページ	マイページ更新画面	ユーザ情報編集フォーム	ユーザ情報編集フォームの実装	HDBアプリ（iOS、Android）	A	
マイページ	マイページ更新画面	アイコン選択	アイコン選択機能の実装	HDBアプリ（iOS、Android）	A	
マイページ	マイページ更新画面	ニックネーム入力	ニックネーム入力機能の実装	HDBアプリ（iOS、Android）	A	
マイページ	マイページ更新画面	通知設定	通知設定機能の実装	HDBアプリ（iOS、Android）	A	
メニュー	バーガーメニュー画面	画面	バーガーメニューの表示および各メニュー機能	HDBアプリ（iOS、Android）	A	0.5	17	アプリ		○		
メニュー	バーガーメニュー画面	メニュー一覧表示	メニュー一覧表示の実装	HDBアプリ（iOS、Android）	A		17	アプリ		○		
メニュー	バーガーメニュー画面	各メニュー項目	各メニュー項目の実装	HDBアプリ（iOS、Android）	A	
メニュー	バーガーメニュー画面	WebView遷移	WebView画面遷移の実装	HDBアプリ（iOS、Android）	A	
メニュー	連携サービス画面	画面	連携サービスのON/OFF設定	HDBアプリ（iOS、Android）	A	0.5
メニュー	連携サービス画面	サービス一覧表示	連携サービス一覧表示の実装	HDBアプリ（iOS、Android）	A	
メニュー	連携サービス画面	ON/OFFスイッチ	サービスON/OFFスイッチの実装	HDBアプリ（iOS、Android）	A	
メニュー	連携サービス画面	説明テキスト	サービス説明テキスト表示の実装	HDBアプリ（iOS、Android）	A	
メニュー	通知設定画面	画面	Push通知の受け取り設定	HDBアプリ（iOS、Android）	A	0.5
メニュー	通知設定画面	通知項目一覧	通知項目一覧表示の実装	HDBアプリ（iOS、Android）	A	
メニュー	通知設定画面	ON/OFFスイッチ	通知ON/OFFスイッチの実装	HDBアプリ（iOS、Android）	A	
メニュー	DBバックアップ・リストア画面	画面	アプリ内DBのバックアップとリストア	HDBアプリ（iOS、Android）	A	1
メニュー	DBバックアップ・リストア画面	バックアップボタン	DBバックアップボタンの実装	HDBアプリ（iOS、Android）	A	
メニュー	DBバックアップ・リストア画面	リストアボタン	DBリストアボタンの実装	HDBアプリ（iOS、Android）	A	
メニュー	DBバックアップ・リストア画面	進捗表示	バックアップ・リストア進捗表示の実装	HDBアプリ（iOS、Android）	A	
全般	汎用WebView画面	画面	静的ページおよびSSO APIを使用したHDB画面表示	HDBアプリ（iOS、Android）	A	0.5
